# Real DX cluster spots captured from http://www.dxsummit.fi/api/v1/spots?limit=500
# on 2026-08-08. Two columns: frequency in kHz, and the spotter's free-text
# comment. Ground truth for the mode test is the comment: where a spotter
# named the mode, the band plan must agree with them.
# frequency_khz	comment
50314.0	FT8 +01 dB from JO30 IN EA5
14340.0	DE-1174
21022.5	
21074.0	FT8
28036.0	WAE Contest,
50313.0	FT8 -05dB from JN43 2353Hz
14080.0	FT4 -06dB from IM76 1721Hz
50313.0	FT8 -07 dB from JN70 IN EA5
28075.7	
7195.0	SES JO30ND>
21048.3	CW
144174.9	FT8 Tnx for nice Qso 73's
21074.0	
70156.4	FT8  -14 db IN60<> JK72
18104.0	14 ft4 mode
14282.0	CDM EA*
7164.0	CDM F*
28490.0	thanks Lui for new band for me
28007.5	
7015.9	
7074.0	tour de france feminin
21013.0	WAE CONTEST
21265.0	EA1FOX  EC2AFE LLOTA LLES-0420
14225.0	contest
70200.0	IO93FT<ES>JN61FP mni tnx
14080.0	FT4 -08dB from KN40 1546Hz
21024.7	CW
70154.0	CQ +9
28415.0	CQ USB
21218.0	CQ CQ
24915.0	FT8 73
18104.0	FT4 CQ CQ
70190.0	cq ssb
21030.1	CW
21017.7	CW
24940.0	SSB 25th CACG
21007.5	CW
14023.1	
50313.8	IO51QV<AR>LL75
14213.0	cq dx  loud
14061.0	YL qrv fm vessel river Spree
144175.7	IM98XV<>IM99 FT8
50313.8	IO51QV<AR>JO50
50313.8	
70190.0	73'
7172.0	
50313.0	FT8 -15dB from IM69 2056Hz
18165.0	game cccam rep dom
21035.8	CW
14005.5	
50155.0	JN61IT < > IO83WB
144174.0	DH0DX PETER ON4KST CHAT
14012.3	CW
28395.0	USB KM72kh -> JO62qj
14030.8	
50313.0	FT8 -07dB from JN54 1296Hz
7180.0	LSB
21019.1	
7026.0	
70190.0	io81rf<es>jn47tg 539
70154.0	CQ -8
70154.0	FT8 -22 dB 1357 Hz
18081.9	TU UFB QSO, 73
144174.0	IN88HR<ES>JN97SG Tnx qso 73
24915.0	FT8 73
14074.0	ft8 tnx qso gl/gdx vy 73!
21053.1	WAE Contest CW
14026.0	CW
70154.0	JP50JA<>IN80DJ FT8 / -9dB
144174.0	<TR>IO70 FT8 -15 dB 2012 Hz RX
50130.0	CQ io87 beaming north america
144174.0	FT8 +35 dB 471 Hz GWS 6M
21022.5	
21013.0	
21040.3	CW
18101.4	
28036.1	WAE CONTEST
14074.0	FT8 -08dB 304Hz
21043.1	CW
21300.0	CQ
21045.7	WAE Contest CW
28074.0	FT8 IO63uf -> FF81vh
70200.0	JN61FP<ES>IO93FI Tnx contact s
144174.0	GWS VONOVIA 6M
14023.1	CW
50455.0	IO80XS(ES)JN61HQ 549
24915.0	FT8 73
21003.1	CW
21041.8	CW
70190.0	
14063.0	WWFF EAFF-1000
21142.4	FT4, FT4 Sent: -16 Rcvd: +04,
21047.4	CW
21041.8	WAE Contest CW
21030.3	CW
70190.0	
14074.0	ft8 tnx qso gl/gdx vy 73!
14317.0	SpcEvt USS MIDWAY San Diego CA
28512.0	Concurso DME
21003.0	
70190.0	
21045.7	CW
14074.0	FT8 KM37pj -> OK35 -14dB 73
21058.0	
14265.0	Maryland qso party
50313.0	FT8 -12dB from JN37 1785Hz
70190.0	
50482.6	IO80XS(ES)JO64QC 539
28036.0	
14310.0	POTA ES-1701
24915.0	FT8 73
14200.0	CQ
24915.0	
21139.5	PSK 31 USS MIDWAY CV-41 SE RTT
144174.6	IM98XV<>JM75GV FT8
21010.1	
144176.5	JN01WK<TR>IM86 FT8  Sent: -10
70154.0	JO55PM<>JN11 TU fer FT8 QSO
144174.0	FT8 +41 dB  PEANUTS
21260.0	07031 CME test
21040.3	
7195.0	C meow C meow CAT on the air
21041.0	WAE
7031.0	GDXF 10 Punkte   1803Z
10138.2	FT8
21008.0	
7085.0	C. Municipios Espa?oles
21061.8	
28075.0	FT8
10368100.0	IM99VC <TR> JN62KA 55 to 59 QSB
28540.0	SSB
144174.0	FT8 +30 dB 1191 Hz
14320.0	POTA AT-0411, TOTA OER-6054
50425.0	IO80XS(ES)JO21FV 569
144174.9	FT8  Tnx for Qso 73's
28540.0	
21210.0	
24970.0	CQ
144174.0	JN72EG<>IO92FO Tnx 73
50313.0	JN98VC<ES>JN01WK was +6 dB
21007.5	
21019.5	
28075.7	
21025.1	CW
21032.0	CW
21305.0	CQ
21021.6	CW
14320.0	POTA AT-0411, TOTA OER-6054
7026.0	
7136.0	especial moros y cristianos ac
21027.3	CW
21275.0	SWL, 5/4-7,    CQ'ing
144174.0	IN88HR<ES>JN87JJ Tnx qso 73
144174.0	FT8 +29 dB 1002 Hz
14013.0	
14251.0	Pro Football HOF SES
21013.0	
21014.6	
144174.0	IN88HR<ES>JN87DC
144174.0	<ES>JO61 FT8 +12 dB 803 Hz RX
21007.5	wae-strong
28540.0	Volta Portugal 26 ssb
28036.0	CW
21307.0	WWFF KFF-5358
28490.0	USB
28075.7	
14074.0	FT8
70013.8	IO80XS(ES)JN76MC 559
70154.0	JP50JA<>JN01ND FT8 / -3dB CQ
14054.0	
21006.7	CW
